trial_order,condition,stimulus,sentence_extraction,comprehension_probe,probe_clause,response,accuracy,rt,participant_id,handedness,gender,first_language,age,other_languages,country_of_residence,rt_measure
66,congruent,"['The', 'HAT', 'that', 'MATCHED', 'the', 'SKIRT', 'had a', 'BOW', 'in the', 'BACK']",subject,The skirt had a bow?,main_clause,n,1,2.275874056998873,001,right,female,English,26,NA,Australia,keypress
67,other,"['The', 'BOSS', 'was', 'HAPPY', 'to', 'SEE', 'the', 'WORK', 'that', 'THE', 'two', 'GIRLS', 'had', 'DONE']",assorted,The girls were happy?,other,n,1,1.1227100629985216,001,right,female,English,26,NA,Australia,keypress
68,incongruent,"['THE', 'owl', 'THAT', 'scared', 'THE', 'bat', 'MADE A', 'loop', 'IN THE', 'air']",subject,The bat scared the owl?,relative_clause,n,1,1.556925548999061,001,right,female,English,26,NA,Australia,keypress
69,other,"['The', 'RING', 'that', 'WAS', 'sadly', 'LOST', 'was', 'FOUND', 'by the', 'FAT', 'and', 'VERY', 'happy', 'PRIEST']",assorted,The priest found the ring?,other,y,1,1.088926234999235,001,right,female,English,26,NA,Australia,keypress
70,incongruent,"['THE', 'scout', 'THAT', 'punched', 'THE', 'coach', 'HAD A', 'fight', 'WITH A', 'manager']",subject,The coach had a fight?,main_clause,n,1,1.7557325699999635,001,right,female,English,26,NA,Australia,keypress
71,incongruent,"['THE', 'priest', 'that the', 'NUN', 'thanked', 'left', 'THE', 'church', 'in', 'A', 'hurry']",object,The priest thanked the nun?,relative_clause,y,0,1.5898243930005265,001,right,female,English,26,NA,Australia,keypress
72,other,"['The', 'CONCERT', 'started', 'LATER', 'than', 'WHAT', 'the', 'LADY', 'told the', 'TRAVELER']",assorted,The concert started later than the travellers expected?,other,y,1,3.479240034999748,001,right,female,English,26,NA,Australia,keypress
73,congruent,"['The', 'DESK', 'that', 'SCRATCHED', 'the', 'BED', 'was too', 'OLD', 'to be', 'MOVED']",subject,The bed scratched the desk?,relative_clause,y,0,2.3757459859989467,001,right,female,English,26,NA,Australia,keypress
1,incongruent,"['THE', 'boy', 'THAT', 'helped', 'THE', 'girl', 'GOT AN', 'A', 'ON THE', 'test']",subject,The girl helped the boy?,relative_clause,y,0,5.735363747997326,002,right,male,English,26,NA,Australia,keypress
2,incongruent,"['THE', 'cook', 'that the', 'MAID', 'hugged', 'had', 'A', 'tear', 'on', 'HER', 'cheek']",object,The cook had a son?,main_clause,n,0,1.7743655480007874,002,right,male,English,26,NA,Australia,keypress
3,other,"['The', 'CAR', 'that was', 'NEW', 'had', 'JUST', 'been', 'CLEANED', 'by', 'THE', 'old', 'LADY']",assorted,The car was old?,other,n,1,1.8751867750106612,002,right,male,English,26,NA,Australia,keypress
4,congruent,"['The', 'SAILOR', 'that', 'PUSHED', 'the', 'BANKER', 'hurt his', 'FOOT', 'in the', 'BRAWL']",subject,The banker pushed the sailor?,relative_clause,n,1,2.476362432993483,002,right,male,English,26,NA,Australia,keypress
5,other,"['The', 'GIRL', 'kicked the', 'BALL', 'into the', 'WINDOW', 'but it', 'DID', 'not', 'BREAK']",assorted,The girl broke the window?,other,n,1,1.805422951001674,002,right,male,English,26,NA,Australia,keypress
6,incongruent,"['THE', 'tradie', 'THAT', 'thanked', 'THE', 'man', 'LEFT HIS', 'wallet', 'IN THE', 'car']",subject,The man left his wallet?,main_clause,n,1,2.8112782320094993,002,right,male,English,26,NA,Australia,keypress
7,congruent,"['The', 'PRINCE', 'that', 'HELPED', 'the', 'GIRL', 'had a', 'HEAD', 'of blonde', 'HAIR']",subject,The prince had blonde hair?,main_clause,y,1,3.2950946150085656,002,right,male,English,26,NA,Australia,keypress
8,congruent,"['The', 'KID', 'that the', 'dad', 'FOLLOWED', 'had', 'some', 'MUD', 'on', 'his', 'SHOES']",object,The kid followed the dad?,relative_clause,n,1,3.2786807480006246,002,right,male,English,26,NA,Australia,keypress
9,other,"['The', 'PIANO', 'was well', 'PLAYED', 'by', 'THE', 'old', 'LADY', 'but', 'IT', 'was', 'NOT', 'in', 'TUNE']",assorted,The piano was badly played?,other,n,1,1.540547622993472,002,right,male,English,26,NA,Australia,keypress
10,congruent,"['The', 'OWL', 'that', 'SCARED', 'the', 'BAT', 'made a', 'LOOP', 'in the', 'AIR']",subject,The bat made a loop?,main_clause,n,1,2.090197308003553,002,right,male,English,26,NA,Australia,keypress
11,other,"['The', 'GIRL', 'on', 'THE', 'school', 'TRIP', 'saw a', 'FROG', 'and', 'LATER', 'she', 'SAW', 'a', 'MOUSE']",assorted,The girl saw a mouse first?,other,n,1,1.323816057993099,002,right,male,English,26,NA,Australia,keypress
12,incongruent,"['THE', 'truck', 'THAT', 'bumped', 'THE', 'car', 'HAD A', 'man', 'AT THE', 'wheel']",subject,The truck bumped the car?,relative_clause,y,1,2.2769922860024963,002,right,male,English,26,NA,Australia,keypress
13,incongruent,"['THE', 'girl', 'THAT', 'pushed', 'THE', 'nerd', 'BROKE THE', 'vase', 'WITH THE', 'flowers']",subject,The nerd broke the vase?,main_clause,n,1,2.409151297993958,002,right,male,English,26,NA,Australia,keypress
14,other,"['The', 'DESK', 'was', 'NEW', 'but', 'DUSTY', 'and', 'COVERED', 'with old', 'BOOKS']",assorted,The desk was new?,other,y,1,1.524518710008124,002,right,male,English,26,NA,Australia,keypress
15,incongruent,"['THE', 'whale', 'that the', 'SHARK', 'bit', 'won', 'THE', 'fight', 'in', 'THE', 'end']",object,The shark won the fight?,main_clause,n,1,1.9404379879997575,002,right,male,English,26,NA,Australia,keypress
16,congruent,"['The', 'THIEF', 'that the', 'guard', 'SAW', 'had', 'a', 'GUN', 'in', 'his', 'HOLSTER']",object,The guard saw the thief?,relative_clause,y,1,2.1750432739936514,002,right,male,English,26,NA,Australia,keypress
17,incongruent,"['THE', 'crook', 'THAT', 'warned', 'THE', 'thief', 'FLED THE', 'town', 'THE NEXT', 'morning']",subject,The crook warned the thief?,relative_clause,y,1,2.025829534002696,002,right,male,English,26,NA,Australia,keypress
18,other,"['The', 'CONCERT', 'started', 'LATER', 'than', 'WHAT', 'the', 'LADY', 'told the', 'TRAVELER']",assorted,The concert started early?,other,n,1,2.07469682500232,002,right,male,English,26,NA,Australia,keypress
19,incongruent,"['THE', 'knight', 'THAT', 'helped', 'THE', 'king', 'SENT A', 'gift', 'FROM HIS', 'castle']",subject,The knight sent a gift?,main_clause,y,1,1.9248952799971448,002,right,male,English,26,NA,Australia,keypress
20,incongruent,"['THE', 'bloke', 'that the', 'MUM', 'helped', 'gave', 'A', 'gift', 'to', 'SAY', 'thanks']",object,The mum gave a gift?,main_clause,n,1,1.574655840988271,002,right,male,English,26,NA,Australia,keypress
21,other,"['The', 'RING', 'that', 'WAS', 'sadly', 'LOST', 'was', 'FOUND', 'by the', 'FAT', 'and', 'VERY', 'happy', 'PRIEST']",assorted,The priest found the ring?,other,y,1,3.72992455799249,002,right,male,English,26,NA,Australia,keypress
22,congruent,"['The', 'BUM', 'that the', 'cop', 'SCARED', 'crossed', 'the', 'STREET', 'at', 'the', 'LIGHT']",object,The cop scared the bum?,relative_clause,y,1,1.8887800670054276,002,right,male,English,26,NA,Australia,keypress
23,congruent,"['The', 'BOSS', 'that', 'MOCKED', 'the', 'CLERK', 'had a', 'CRUSH', 'on the', 'INTERN']",subject,The boss mocked the clerk?,relative_clause,y,1,1.457239365001442,002,right,male,English,26,NA,Australia,keypress
24,incongruent,"['THE', 'bug', 'THAT', 'attacked', 'THE', 'ant', 'WAS AS', 'big', 'AS A', 'coin']",subject,The ant attacked the bug?,relative_clause,n,1,1.7403960439987711,002,right,male,English,26,NA,Australia,keypress
25,other,"['The', 'CAT', 'chased the', 'BIRD', 'but', 'IT', 'flew', 'AWAY', 'into the', 'SUNSET']",assorted,The cat caught the bird?,other,n,1,2.024057079004706,002,right,male,English,26,NA,Australia,keypress
26,congruent,"['The', 'FRUIT', 'that the', 'cake', 'SQUASHED', 'made', 'a', 'MESS', 'in', 'the', 'BAG']",object,The cake made a mess?,main_clause,n,1,1.8083356990100583,002,right,male,English,26,NA,Australia,keypress
27,other,"['The', 'HAT', 'that was', 'WORN', 'by the', 'BOY', 'with a', 'JACKET', 'was too', 'SMALL', 'for the', 'MAN']",assorted,The hat was too small?,other,y,1,1.9080581460002577,002,right,male,English,26,NA,Australia,keypress
28,other,"['The', 'DESSERT', 'was', 'SERVED', 'with', 'CUSTARD', 'and', 'FRUIT', 'then', 'THERE', 'was', 'COFFEE']",assorted,The coffee was before dessert?,other,n,1,2.4757198250008514,002,right,male,English,26,NA,Australia,keypress
29,other,"['The', 'BOSS', 'was', 'HAPPY', 'to', 'SEE', 'the', 'WORK', 'that', 'THE', 'two', 'GIRLS', 'had', 'DONE']",assorted,The boss was happy?,other,y,1,1.1223994199972367,002,right,male,English,26,NA,Australia,keypress
30,congruent,"['The', 'DAD', 'that the', 'chef', 'KNEW', 'had', 'a', 'SON', 'with', 'a', 'LIMP']",object,The chef had a son?,main_clause,n,1,1.9069275849906264,002,right,male,English,26,NA,Australia,keypress
31,other,"['The', 'FISH', 'was', 'CAUGHT', 'by the', 'GIRL', 'on the', 'BOAT', 'on a', 'FRIDAY']",assorted,The fish was caught by the boy?,other,n,1,1.5078250340011436,002,right,male,English,26,NA,Australia,keypress
32,congruent,"['The', 'DESK', 'that', 'SCRATCHED', 'the', 'BED', 'was too', 'OLD', 'to be', 'MOVED']",subject,The desk was too old?,main_clause,y,1,2.0749802950012963,002,right,male,English,26,NA,Australia,keypress
33,congruent,"['The', 'DANCER', 'that the', 'guy', 'LIKED', 'was', 'a', 'CHEF', 'in', 'the', 'CITY']",object,The dancer liked the guy?,relative_clause,n,1,2.225427329001832,002,right,male,English,26,NA,Australia,keypress
34,incongruent,"['THE', 'king', 'that the', 'GUEST', 'pleased', 'poured', 'THE', 'wine', 'from', 'THE', 'jug']",object,The king pleased the guest?,relative_clause,y,0,5.197866618007538,002,right,male,English,26,NA,Australia,keypress
35,incongruent,"['THE', 'dean', 'that the', 'GUARD', 'heard', 'made', 'A', 'call', 'about', 'THE', 'matter']",object,The guard made a call?,main_clause,n,1,1.573600160991191,002,right,male,English,26,NA,Australia,keypress
36,congruent,"['The', 'THUG', 'that', 'SAW', 'the', 'MAN', 'had a', 'HAT', 'on his', 'HEAD']",subject,The thug saw the man?,relative_clause,y,1,1.4737844140036032,002,right,male,English,26,NA,Australia,keypress
37,congruent,"['The', 'PRIEST', 'that', 'THANKED', 'the', 'NUN', 'left the', 'CHURCH', 'in a', 'HURRY']",subject,The priest left the church?,main_clause,y,1,1.1556823079881724,002,right,male,English,26,NA,Australia,keypress
38,other,"['The', 'WINE', 'that was', 'FANCY', 'was', 'KEPT', 'in the', 'CELLAR', 'for', 'NEARLY', 'ten', 'YEARS', 'and five', 'MONTHS']",assorted,The wine was bad?,other,n,1,2.008291518999613,002,right,male,English,26,NA,Australia,keypress
39,incongruent,"['THE', 'rod', 'that the', 'PIPE', 'bent', 'had', 'A', 'hole', 'in', 'THE', 'middle']",object,The rod had a hole?,main_clause,y,1,1.2059850730001926,002,right,male,English,26,NA,Australia,keypress
40,congruent,"['The', 'SCOUT', 'that the', 'coach', 'PUNCHED', 'had', 'a', 'FIGHT', 'with', 'a', 'MANAGER']",object,The coach had a fight?,main_clause,n,1,1.1558506750006927,002,right,male,English,26,NA,Australia,keypress
41,incongruent,"['THE', 'niece', 'that the', 'AUNT', 'kissed', 'sang', 'A', 'song', 'for', 'THE', 'guests']",object,The aunt kissed the niece?,relative_clause,y,1,2.058594135000021,002,right,male,English,26,NA,Australia,keypress
42,other,"['The', 'BOOK', 'that the', 'LADY', 'with a', 'TATTOO', 'had', 'WRITTEN', 'was her', 'BEST', 'book', 'YET']",assorted,The lady wrote a book?,other,y,1,2.526294706010958,002,right,male,English,26,NA,Australia,keypress
43,congruent,"['The', 'PRIEST', 'that', 'PAID', 'the', 'COOK', 'signed the', 'CHECK', 'at the', 'BANK']",subject,The priest paid the cook?,relative_clause,y,1,2.309430732988403,002,right,male,English,26,NA,Australia,keypress
44,congruent,"['The', 'MAN', 'that', 'PHONED', 'the', 'NURSE', 'left his', 'PILLS', 'at the', 'OFFICE']",subject,The nurse left the pills?,main_clause,n,1,1.3396546610019868,002,right,male,English,26,NA,Australia,keypress
45,other,"['The', 'APPLES', 'that', 'THE', 'couple', 'BOUGHT', 'at the', 'MARKET', 'were', 'RED']",assorted,The couple bought some apples?,other,y,1,1.691318035009317,002,right,male,English,26,NA,Australia,keypress
