experiment,participant_id,age,trial_order,stimulus,response
1word,108385,36.0,54,"Matt punched John and John punched himself too. Molly was kissed by John. In this context, was John kissed? (Answer using just one word)",no
1word,108385,36.0,55,"Sarah was seen by Molly and Jack and Judith was seen by Sarah. In this context, did Jack see anyone? (Answer using just one word)",no
1word,108385,36.0,56,"The door is green. In this context, is the door blue? (Answer using just one word)",no
1word,108385,36.0,57,"Alice yelled at Flavia and Flavia yelled at Alice's sister. Alice's sister was greeted by Alice. In this context, was Alice greeted? (Answer using just one word)",no
1word,108385,36.0,58,"John laughed at Matt and then laughed at Alice too. Mary was kissed by Nuria. In this context, was Nuria kissed? (Answer using just one word)",no
1word,108385,36.0,59,"John and Manuel were kissed by Franck. Alice was kissed by Franck and Peter. In this context, was Franck kissed? (Answer using just one word)",no
1word,108385,36.0,60,"Franck chased Paul and Paul chased Bill. Bill was called by Paul. In this context, was Paul chased? (Answer using just one word)",yes
1word,108385,36.0,61,"Francesco wrote to Nuria and John wrote to Irene. Mary was paid by Francesco. In this context, was Francesco paid? (Answer using just one word)",no
1word,108385,36.0,62,"Steve hugged Molly and Donna was kissed by Molly. In this context, was Molly kissed? (Answer using just one word)",no
1word,108385,36.0,63,"Bob kissed Donna and Barbara kissed Peter. Donna was hugged by Alice. In this context, was Alice hugged? (Answer using just one word)",no
1word,108385,36.0,64,"Bob kissed Donna and Barbara kissed Peter. Donna was hugged by Alice. In this context, was Alice hugged? (Answer using just one word)",no
1word,108385,36.0,65,"The door is red. In this context, is the door red? (Answer using just one word)",yes
1word,108385,36.0,66,"Bob kissed Donna and Barbara kissed Peter. Donna was hugged by Alice. In this context, was Alice hugged? (Answer using just one word)",no
1word,112259,35.0,1,"Jessica and Giovanna deceived Pascual and Barbara was deceived by Pascual and Laura. In this context, did Laura deceive anyone? (Answer using just one word)",yes
1word,112259,35.0,2,"John kissed Mary and Lucy was kissed by Mary. In this context, was John kissed by Mary? (Answer using just one word)",no
1word,112259,35.0,3,"The door is green. In this context, is the door blue? (Answer using just one word)",no
1word,112259,35.0,4,"The door is red. In this context, is the door red? (Answer using just one word)",yes
1word,112259,35.0,5,"Lucy chased Molly and Alice was kissed by Mary. Mary kissed Sarah. In this context, was Mary kissed? (Answer using just one word)",no
1word,112259,35.0,6,"Jessica and Mary were kissed by Alice. Jessica was kissed by Samuel and Andrew was kissed by Mary. In this context, was Mary kissed? (Answer using just one word)",yes
1word,112259,35.0,7,"John loved Mary and Lucy was hugged by Mary. Mary was kissed by Lucy. In this context, was Lucy kissed? (Answer using just one word)",no
1word,112259,35.0,8,"Steve hugged Molly and Donna was kissed by Molly. In this context, was Molly kissed? (Answer using just one word)",no
1word,112259,35.0,9,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, did Jack train anyone? (Answer using just one word)",yes
1word,112259,35.0,10,"Bob kissed Donna and Barbara kissed Peter. Donna was hugged by Alice. In this context, was Alice hugged? (Answer using just one word)",no
1word,112259,35.0,11,"Mary complimented John and Bill was complimented by John. In this context, did John compliment anyone? (Answer using just one word)",yes
1word,112259,35.0,12,"Paul was called by Lucy and Steve and Anthony was called by Franck. In this context, did Steve call anyone? (Answer using just one word)",no
1word,112259,35.0,13,"John laughed at Matt and then laughed at Alice too. Mary was kissed by Nuria. In this context, was Nuria kissed? (Answer using just one word)",no
1word,112259,35.0,14,"Alice yelled at Flavia and Flavia yelled at Alice's sister. Alice's sister was greeted by Alice. In this context, was Alice greeted? (Answer using just one word)",no
1word,112259,35.0,15,"John and Manuel were kissed by Franck. Alice was kissed by Franck and Peter. In this context, was Franck kissed? (Answer using just one word)",yes
1word,112259,35.0,16,"John laughed at Matt and then laughed at Alice too. Mary was kissed by Nuria. In this context, was Nuria kissed? (Answer using just one word)",no
1word,112259,35.0,17,"Matt punched John and John punched himself too. Molly was kissed by John. In this context, was John kissed? (Answer using just one word)",no
1word,112259,35.0,18,"Mary complimented John and Bill was complimented by John. In this context, did John compliment anyone? (Answer using just one word)",yes
1word,112259,35.0,19,"Lucy chased Molly and Alice was kissed by Mary. Mary kissed Sarah. In this context, was Mary kissed? (Answer using just one word)",no
1word,112259,35.0,20,"Alice yelled at Flavia and Flavia yelled at Alice's sister. Alice's sister was greeted by Alice. In this context, was Alice greeted? (Answer using just one word)",no
1word,112259,35.0,21,"Mary complimented John and Bill was complimented by John. In this context, did John compliment anyone? (Answer using just one word)",yes
1word,112259,35.0,22,"John deceived Mary and Lucy was deceived by Mary. In this context, did Mary deceive Lucy? (Answer using just one word)",yes
1word,112259,35.0,23,"Francesco wrote to Nuria and John wrote to Irene. Mary was paid by Francesco. In this context, was Francesco paid? (Answer using just one word)",no
1word,112259,35.0,24,"Paul was called by Lucy and Steve and Anthony was called by Franck. In this context, did Steve call anyone? (Answer using just one word)",no
1word,112259,35.0,25,"Sarah was seen by Molly and Jack and Judith was seen by Sarah. In this context, did Jack see anyone? (Answer using just one word)",yes
1word,112259,35.0,26,"John and Manuel were kissed by Franck. Alice was kissed by Franck and Peter. In this context, was Franck kissed? (Answer using just one word)",no
1word,112259,35.0,27,"Franck read to himself and John read to himself, Anthony and Franck. In this context, was Franck read to? (Answer using just one word)",yes
1word,112259,35.0,28,"Jessica and Mary were kissed by Alice. Jessica was kissed by Samuel and Andrew was kissed by Mary. In this context, was Mary kissed? (Answer using just one word)",yes
1word,112259,35.0,29,"The door is red. In this context, is the door red? (Answer using just one word)",yes
1word,112259,35.0,30,"Franck chased Paul and Paul chased Bill. Bill was called by Paul. In this context, was Paul chased? (Answer using just one word)",no
1word,112259,35.0,31,"Jessica and Giovanna deceived Pascual and Barbara was deceived by Pascual and Laura. In this context, did Laura deceive anyone? (Answer using just one word)",yes
1word,112259,35.0,32,"Bob kissed Donna and Barbara kissed Peter. Donna was hugged by Alice. In this context, was Alice hugged? (Answer using just one word)",no
1word,112259,35.0,33,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, did Jack train anyone? (Answer using just one word)",yes
1word,112259,35.0,34,"The door is green. In this context, is the door blue? (Answer using just one word)",no
1word,112259,35.0,35,"Alice calls Flavia and Flavia is called by Molly. Molly is kissed by Alice. In this context, was Molly kissed? (Answer using just one word)",yes
1word,112259,35.0,36,"Matt punched John and John punched himself too. Molly was kissed by John. In this context, was John kissed? (Answer using just one word)",no
1word,112259,35.0,37,"Franck chased Paul and Paul chased Bill. Bill was called by Paul. In this context, was Paul chased? (Answer using just one word)",yes
1word,112259,35.0,38,"Francesco wrote to Nuria and John wrote to Irene. Mary was paid by Francesco. In this context, was Francesco paid? (Answer using just one word)",no
1word,112259,35.0,39,"Franck chased Paul and Paul chased Bill. Bill was called by Paul. In this context, was Paul chased? (Answer using just one word)",yes
1word,112259,35.0,40,"John deceived Mary and Lucy was deceived by Mary. In this context, did Mary deceive Lucy? (Answer using just one word)",yes
1word,112259,35.0,41,"John kissed Mary and Lucy was kissed by Mary. In this context, was John kissed by Mary? (Answer using just one word)",no
1word,112259,35.0,42,"Francesco wrote to Nuria and John wrote to Irene. Mary was paid by Francesco. In this context, was Francesco paid? (Answer using just one word)",no
1word,112259,35.0,43,"The door is red. In this context, is the door red? (Answer using just one word)",yes
1word,112259,35.0,44,"John loved Mary and Lucy was hugged by Mary. Mary was kissed by Lucy. In this context, was Lucy kissed? (Answer using just one word)",no
1word,112259,35.0,45,"Franck read to himself and John read to himself, Anthony and Franck. In this context, was Franck read to? (Answer using just one word)",yes
1word,112259,35.0,46,"The door is green. In this context, is the door blue? (Answer using just one word)",no
1word,112259,35.0,47,"Lucy chased Molly and Alice was kissed by Mary. Mary kissed Sarah. In this context, was Mary kissed? (Answer using just one word)",yes
1word,112259,35.0,48,"John loved Mary and Lucy was hugged by Mary. Mary was kissed by Lucy. In this context, was Lucy kissed? (Answer using just one word)",yes
1word,112259,35.0,49,"Jessica and Giovanna deceived Pascual and Barbara was deceived by Pascual and Laura. In this context, did Laura deceive anyone? (Answer using just one word)",yes
1word,112259,35.0,50,"John laughed at Matt and then laughed at Alice too. Mary was kissed by Nuria. In this context, was Nuria kissed? (Answer using just one word)",yes
1word,112259,35.0,51,"Steve hugged Molly and Donna was kissed by Molly. In this context, was Molly kissed? (Answer using just one word)",no
1word,112259,35.0,52,"Matt punched John and John punched himself too. Molly was kissed by John. In this context, was John kissed? (Answer using just one word)",no
1word,112259,35.0,53,"Paul was called by Lucy and Steve and Anthony was called by Franck. In this context, did Steve call anyone? (Answer using just one word)",yes
1word,112259,35.0,54,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, did Jack train anyone? (Answer using just one word)",yes
1word,112259,35.0,55,"Sarah was seen by Molly and Jack and Judith was seen by Sarah. In this context, did Jack see anyone? (Answer using just one word)",yes
1word,112259,35.0,56,"Sarah was seen by Molly and Jack and Judith was seen by Sarah. In this context, did Jack see anyone? (Answer using just one word)",yes
1word,112259,35.0,57,"Jessica and Mary were kissed by Alice. Jessica was kissed by Samuel and Andrew was kissed by Mary. In this context, was Mary kissed? (Answer using just one word)",yes
1word,112259,35.0,58,"John and Manuel were kissed by Franck. Alice was kissed by Franck and Peter. In this context, was Franck kissed? (Answer using just one word)",no
1word,112259,35.0,59,"Franck read to himself and John read to himself, Anthony and Franck. In this context, was Franck read to? (Answer using just one word)",yes
1word,112259,35.0,60,"John deceived Mary and Lucy was deceived by Mary. In this context, did Mary deceive Lucy? (Answer using just one word)",yes
1word,112259,35.0,61,"John kissed Mary and Lucy was kissed by Mary. In this context, was John kissed by Mary? (Answer using just one word)",no
1word,112259,35.0,62,"Alice calls Flavia and Flavia is called by Molly. Molly is kissed by Alice. In this context, was Molly kissed? (Answer using just one word)",yes
1word,112259,35.0,63,"Alice yelled at Flavia and Flavia yelled at Alice's sister. Alice's sister was greeted by Alice. In this context, was Alice greeted? (Answer using just one word)",no
1word,112259,35.0,64,"Steve hugged Molly and Donna was kissed by Molly. In this context, was Molly kissed? (Answer using just one word)",no
1word,112259,35.0,65,"Bob kissed Donna and Barbara kissed Peter. Donna was hugged by Alice. In this context, was Alice hugged? (Answer using just one word)",no
1word,112259,35.0,66,"Alice calls Flavia and Flavia is called by Molly. Molly is kissed by Alice. In this context, was Molly kissed? (Answer using just one word)",yes
1word,114165,56.0,1,"Bill directed John and Bob was directed by John. John was directed by Bill. In this context, did John direct anyone? (Answer using just one word)",yes
1word,114165,56.0,2,"John and Samantha called Mary and Luis was called by Lucy and Mary. In this context, was Lucy called by anyone? (Answer using just one word)",no
1word,114165,56.0,3,"Mary was kissed by Molly and Franck. In this context, was Molly kissed? (Answer using just one word)",no
1word,114165,56.0,4,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, was Jack trained? (Answer using just one word)",no
1word,114165,56.0,5,"John saw Lucy and Alice was seen by Lucy. Alice saw John. In this context, did Lucy see anyone? (Answer using just one word)",yes
1word,114165,56.0,6,"Luis leaves Roy and Laura is left by Roy. Roy is kissed by Laura. In this context, was Laura kissed? (Answer using just one word)",yes
1word,114165,56.0,7,"Paul was helped by Mary and Steve and Anthony was helped by Franck. In this context, did Steve help anyone? (Answer using just one word)",yes
1word,114165,56.0,8,"Paul was helped by Mary and Steve and Anthony was helped by Franck. In this context, did Steve help anyone? (Answer using just one word)",yes
1word,114165,56.0,9,"John and Samantha called Mary and Luis was called by Lucy and Mary. In this context, was Lucy called by anyone? (Answer using just one word)",no
1word,114165,56.0,10,"Andrew and Molly were laughed at by Lucy. Smith was laughed at by Samuel and Andrew was laughed at by Molly. In this context, was Andrew laughed at? (Answer using just one word)",yes
1word,114165,56.0,11,"Anne was hugged by Emilio and Jack and Walter was hugged by Franck. In this context, did Emilio hug anyone? (Answer using just one word)",no
1word,114165,56.0,12,"Mary was kissed by Molly and Franck. In this context, was Molly kissed? (Answer using just one word)",yes
1word,114165,56.0,13,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, was Jack trained? (Answer using just one word)",no
1word,114165,56.0,14,"Jessica and Mary were cared for by Alice. Jessica was cared for by Samuel and Andrew was cared for by Mary. In this context, was Mary cared for? (Answer using just one word)",yes
1word,114165,56.0,15,"Jessica and Mary were cooked for by Alice. Jessica was cooked for by Samuel and Andrew was cooked for by Mary. In this context, was Mary cooked for? (Answer using just one word)",yes
1word,114165,56.0,16,"The door is green. In this context, is the door blue? (Answer using just one word)",no
1word,114165,56.0,17,"Bill directed John and Bob was directed by John. John was directed by Bill. In this context, did John direct anyone? (Answer using just one word)",yes
1word,114165,56.0,18,"The door is red. In this context, is the door red? (Answer using just one word)",yes
1word,114165,56.0,19,"John saw Lucy and Alice was seen by Lucy. Lucy saw John. In this context, was Lucy seen? (Answer using just one word)",yes
1word,114165,56.0,20,"The door is green. In this context, is the door blue? (Answer using just one word)",no
1word,114165,56.0,21,"Jessica and Mary were cooked for by Alice. Jessica was cooked for by Samuel and Andrew was cooked for by Mary. In this context, was Mary cooked for? (Answer using just one word)",yes
1word,114165,56.0,22,"Bill and Alice helped Mary and Mary was helped by Luis and Samuel. In this context, was Samuel helped? (Answer using just one word)",no
1word,114165,56.0,23,"The door is red. In this context, is the door red? (Answer using just one word)",yes
1word,114165,56.0,24,"The door is red. In this context, is the door red? (Answer using just one word)",yes
1word,114165,56.0,25,"The door is green. In this context, is the door blue? (Answer using just one word)",no
1word,114165,56.0,26,"Cleo kissed Alice and Alice was kissed by Mary. Cleo and Alice were kissed by Mary. In this context, was Mary kissed? (Answer using just one word)",no
1word,114165,56.0,27,"Cleo kissed Alice and Alice was kissed by Mary. Cleo and Alice were kissed by Mary. In this context, was Mary kissed? (Answer using just one word)",no
1word,114165,56.0,28,"John saw Lucy and Alice was seen by Lucy. Lucy saw John. In this context, was Lucy seen? (Answer using just one word)",yes
1word,114165,56.0,29,"Walter emailed Kora and Lucy was emailed by Kora. Kora was emailed by Lucy. In this context, did Kora email anyone? (Answer using just one word)",yes
1word,114165,56.0,30,"Luis leaves Roy and Laura is left by Roy. Roy is kissed by Laura. In this context, was Laura kissed? (Answer using just one word)",no
1word,114165,56.0,31,"Bill and Alice helped Mary and Mary was helped by Luis and Samuel. In this context, was Samuel helped? (Answer using just one word)",no
1word,114165,56.0,32,"Pascual and John chased Luis and Luis was chased by Francesco and Bill. In this context, was Pascual chased? (Answer using just one word)",no
1word,114165,56.0,33,"Molly saw Mary hugging John and Molly was hugged by Mary. In this context, did Molly hug John? (Answer using just one word)",yes
1word,114165,56.0,34,"Molly saw Mary hugging John and Molly was hugged by Mary. In this context, did Molly hug John? (Answer using just one word)",yes
1word,114165,56.0,35,"Bill directed John and Bob was directed by John. John was directed by Bill. In this context, did John direct anyone? (Answer using just one word)",yes
1word,114165,56.0,36,"John and Samantha called Mary and Luis was called by Lucy and Mary. In this context, was Lucy called by anyone? (Answer using just one word)",no
1word,114165,56.0,37,"Flavia and Jack avoided Mary and Franck was avoided by Lucy and Flavia. In this context, did Franck avoid anyone? (Answer using just one word)",no
1word,114165,56.0,38,"John discussed with Ricky and Ricky called Bill. Bill was called by John. In this context, did Bill call Ricky? (Answer using just one word)",no
1word,114165,56.0,39,"Jessica and Mary were cooked for by Alice. Jessica was cooked for by Samuel and Andrew was cooked for by Mary. In this context, was Mary cooked for? (Answer using just one word)",yes
1word,114165,56.0,40,"Jessica and Mary were cared for by Alice. Jessica was cared for by Samuel and Andrew was cared for by Mary. In this context, was Mary cared for? (Answer using just one word)",yes
1word,114165,56.0,41,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, was Jack trained? (Answer using just one word)",no
1word,114165,56.0,42,"John saw Lucy and Alice was seen by Lucy. Lucy saw John. In this context, was Lucy seen? (Answer using just one word)",yes
1word,114165,56.0,43,"Elena scolded Molly and Sarah was scolded by Molly. In this context, did Molly scold anyone? (Answer using just one word)",yes
1word,114165,56.0,44,"John discussed with Ricky and Ricky called Bill. Bill was called by John. In this context, did Bill call Ricky? (Answer using just one word)",no
1word,114165,56.0,45,"Jessica and Mary were cared for by Alice. Jessica was cared for by Samuel and Andrew was cared for by Mary. In this context, was Mary cared for? (Answer using just one word)",yes
1word,114165,56.0,46,"John discussed with Ricky and Ricky called Bill. Bill was called by John. In this context, did Bill call Ricky? (Answer using just one word)",no
1word,114165,56.0,47,"Molly saw Mary hugging John and Molly was hugged by Mary. In this context, did Molly hug John? (Answer using just one word)",yes
1word,114165,56.0,48,"Walter emailed Kora and Lucy was emailed by Kora. Kora was emailed by Lucy. In this context, did Kora email anyone? (Answer using just one word)",yes
1word,114165,56.0,49,"Walter emailed Kora and Lucy was emailed by Kora. Kora was emailed by Lucy. In this context, did Kora email anyone? (Answer using just one word)",yes
1word,114165,56.0,50,"Andrew and Molly were laughed at by Lucy. Smith was laughed at by Samuel and Andrew was laughed at by Molly. In this context, was Andrew laughed at? (Answer using just one word)",yes
1word,114165,56.0,51,"Bill and Alice helped Mary and Mary was helped by Luis and Samuel. In this context, was Samuel helped? (Answer using just one word)",no
1word,114165,56.0,52,"John saw Lucy and Alice was seen by Lucy. Alice saw John. In this context, did Lucy see anyone? (Answer using just one word)",yes
1word,114165,56.0,53,"Pascual and John chased Luis and Luis was chased by Francesco and Bill. In this context, was Pascual chased? (Answer using just one word)",no
1word,114165,56.0,54,"John saw Lucy and Alice was seen by Lucy. Alice saw John. In this context, did Lucy see anyone? (Answer using just one word)",yes
1word,114165,56.0,55,"Elena scolded Molly and Sarah was scolded by Molly. In this context, did Molly scold anyone? (Answer using just one word)",yes
1word,114165,56.0,56,"Flavia and Jack avoided Mary and Franck was avoided by Lucy and Flavia. In this context, did Franck avoid anyone? (Answer using just one word)",yes
1word,114165,56.0,57,"Paul was helped by Mary and Steve and Anthony was helped by Franck. In this context, did Steve help anyone? (Answer using just one word)",no
1word,114165,56.0,58,"Anne was hugged by Emilio and Jack and Walter was hugged by Franck. In this context, did Emilio hug anyone? (Answer using just one word)",yes
1word,114165,56.0,59,"Luis leaves Roy and Laura is left by Roy. Roy is kissed by Laura. In this context, was Laura kissed? (Answer using just one word)",yes
1word,114165,56.0,60,"Flavia and Jack avoided Mary and Franck was avoided by Lucy and Flavia. In this context, did Franck avoid anyone? (Answer using just one word)",no
1word,114165,56.0,61,"Andrew and Molly were laughed at by Lucy. Smith was laughed at by Samuel and Andrew was laughed at by Molly. In this context, was Andrew laughed at? (Answer using just one word)",yes
1word,114165,56.0,62,"Anne was hugged by Emilio and Jack and Walter was hugged by Franck. In this context, did Emilio hug anyone? (Answer using just one word)",yes
1word,114165,56.0,63,"Mary was kissed by Molly and Franck. In this context, was Molly kissed? (Answer using just one word)",no
1word,114165,56.0,64,"Elena scolded Molly and Sarah was scolded by Molly. In this context, did Molly scold anyone? (Answer using just one word)",yes
1word,114165,56.0,65,"Pascual and John chased Luis and Luis was chased by Francesco and Bill. In this context, was Pascual chased? (Answer using just one word)",no
1word,114165,56.0,66,"Cleo kissed Alice and Alice was kissed by Mary. Cleo and Alice were kissed by Mary. In this context, was Mary kissed? (Answer using just one word)",no
1word,117992,43.0,1,"The door is red. In this context, is the door red? (Answer using just one word)",yes
1word,117992,43.0,2,"Cleo kissed Alice and Alice was kissed by Mary. Cleo and Alice were kissed by Mary. In this context, was Mary kissed? (Answer using just one word)",yes
1word,117992,43.0,3,"Flavia and Jack avoided Mary and Franck was avoided by Lucy and Flavia. In this context, did Franck avoid anyone? (Answer using just one word)",no
1word,117992,43.0,4,"Cleo kissed Alice and Alice was kissed by Mary. Cleo and Alice were kissed by Mary. In this context, was Mary kissed? (Answer using just one word)",no
1word,117992,43.0,5,"John discussed with Ricky and Ricky called Bill. Bill was called by John. In this context, did Bill call Ricky? (Answer using just one word)",no
1word,117992,43.0,6,"Jessica and Mary were cared for by Alice. Jessica was cared for by Samuel and Andrew was cared for by Mary. In this context, was Mary cared for? (Answer using just one word)",yes
1word,117992,43.0,7,"The door is green. In this context, is the door blue? (Answer using just one word)",no
1word,117992,43.0,8,"Molly saw Mary hugging John and Molly was hugged by Mary. In this context, did Molly hug John? (Answer using just one word)",yes
1word,117992,43.0,9,"Elena scolded Molly and Sarah was scolded by Molly. In this context, did Molly scold anyone? (Answer using just one word)",yes
1word,117992,43.0,10,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, was Jack trained? (Answer using just one word)",no
1word,117992,43.0,11,"Cleo kissed Alice and Alice was kissed by Mary. Cleo and Alice were kissed by Mary. In this context, was Mary kissed? (Answer using just one word)",no
1word,117992,43.0,12,"Flavia and Jack avoided Mary and Franck was avoided by Lucy and Flavia. In this context, did Franck avoid anyone? (Answer using just one word)",no
1word,117992,43.0,13,"Luis leaves Roy and Laura is left by Roy. Roy is kissed by Laura. In this context, was Laura kissed? (Answer using just one word)",no
1word,117992,43.0,14,"Bill and Alice helped Mary and Mary was helped by Luis and Samuel. In this context, was Samuel helped? (Answer using just one word)",no
